team,season,week,total_yards,def_yards_allowed,turnovers,possession_time,pass_yards,rush_yards,third_down_pct,redzone_pct,point_diff,ypp,result,is_champion
Buccaneers,2002,7,207,269,2,1727,126,81,0.23076923076923078,0.0,-10,3.1846153846153844,0,1
Cardinals,2002,17,207,450,2,1593,123,84,0.4,0.0,-30,3.7636363636363637,0,0
Cardinals,2002,16,184,358,2,1541,76,108,0.5384615384615384,0.0,-3,3.3454545454545452,0,0
Cardinals,2002,15,378,366,2,1727,249,129,0.5,0.0,-2,6.406779661016949,0,0
Cardinals,2002,14,313,203,1,2325,180,133,0.35294117647058826,0.0,3,3.9125,1,0
Cardinals,2002,13,122,477,4,1585,96,26,0.3125,0.0,-49,1.9365079365079365,0,0
Cardinals,2002,12,263,520,3,1423,131,132,0.16666666666666666,0.0,-21,4.696428571428571,0,0
Cardinals,2002,11,248,462,1,1425,124,124,0.4375,0.0,-24,4.203389830508475,0,0
Cardinals,2002,10,337,406,5,1636,226,111,0.5,0.0,-21,5.810344827586207,0,0
Cardinals,2002,9,235,415,3,1472,171,64,0.4166666666666667,0.0,-13,4.519230769230769,0,0
Cardinals,2002,8,420,357,4,1947,269,151,0.75,0.0,-10,6.363636363636363,0,0
Chargers,2002,17,414,591,1,1808,326,88,0.4,0.0,-3,5.671232876712328,0,0
Chargers,2002,16,383,376,1,1781,235,148,0.16666666666666666,0.0,-2,5.7164179104477615,0,0
Chargers,2002,15,308,256,0,1990,192,116,0.2777777777777778,0.0,-7,4.529411764705882,0,0
Chargers,2002,14,291,393,3,1736,226,65,0.35714285714285715,0.0,-20,4.279411764705882,0,0
Chargers,2002,13,434,417,0,2386,214,220,0.3888888888888889,0.0,3,5.425,1,0
Chargers,2002,12,144,413,2,1446,80,64,0.2222222222222222,0.0,-27,3.2,0,0
Chargers,2002,11,441,467,1,2108,336,105,0.2857142857142857,0.0,3,5.653846153846154,1,0
Chargers,2002,10,256,524,2,1787,130,126,0.3,0.0,-4,5.12,0,0
Chargers,2002,9,243,413,3,1374,170,73,0.1111111111111111,0.0,-31,4.764705882352941,0,0
Chargers,2002,7,333,390,0,2151,161,172,0.46153846153846156,0.0,6,4.826086956521739,1,0
Chiefs,2002,17,176,354,1,1185,132,44,0.36363636363636365,0.0,-24,3.6666666666666665,0,0
Chiefs,2002,16,376,383,1,1819,323,53,0.4375,0.0,2,5.968253968253968,1,0
Chiefs,2002,15,494,482,0,1770,309,185,0.375,0.0,-7,7.159420289855072,0,0
Chiefs,2002,14,293,202,0,1866,113,180,0.375,0.0,39,5.425925925925926,1,0
Chiefs,2002,13,477,122,1,2015,261,216,0.5833333333333334,0.0,49,7.453125,1,0
Chiefs,2002,12,552,534,1,1808,335,217,0.2,0.0,-7,8.903225806451612,0,0
Chiefs,2002,11,320,344,0,1699,192,128,0.36363636363636365,0.0,1,5.517241379310345,1,0
Chiefs,2002,10,256,323,0,1286,176,80,0.36363636363636365,0.0,-4,5.565217391304348,0,0
Chiefs,2002,8,323,417,2,1893,190,133,0.5,0.0,10,5.126984126984127,1,0
Chiefs,2002,7,305,507,0,1898,143,162,0.3076923076923077,0.0,-3,4.485294117647059,0,0
Colts,2002,17,272,266,1,1831,146,126,0.38461538461538464,0.0,7,4.771929824561403,1,0
Colts,2002,16,399,469,2,1644,349,50,0.2857142857142857,0.0,-17,5.955223880597015,0,0
Colts,2002,15,417,349,2,1749,274,143,0.4,0.0,5,6.132352941176471,1,0
Colts,2002,14,389,348,3,1634,297,92,0.6428571428571429,0.0,-10,5.8059701492537314,0,0
Colts,2002,13,278,165,1,1928,190,88,0.26666666666666666,0.0,16,4.633333333333334,1,0
Colts,2002,12,344,285,3,2625,216,128,0.7142857142857143,0.0,3,4.047058823529412,1,0
Colts,2002,11,362,178,1,2403,252,110,0.35294117647058826,0.0,17,5.027777777777778,1,0
Colts,2002,10,446,374,1,1838,319,127,0.5384615384615384,0.0,22,7.689655172413793,1,0
Colts,2002,9,378,198,3,1699,298,80,0.3076923076923077,0.0,-8,5.25,0,0
Colts,2002,8,258,370,3,1587,195,63,0.5454545454545454,0.0,-5,4.777777777777778,0,0
Commanders,2002,17,352,186,5,2127,201,151,0.5294117647058824,0.0,6,5.101449275362318,1,0
Commanders,2002,16,437,166,0,2218,190,247,0.4117647058823529,0.0,16,5.675324675324675,1,0
Commanders,2002,15,292,320,3,1788,206,86,0.23076923076923078,0.0,-13,4.709677419354839,0,0
Commanders,2002,14,447,316,5,1741,315,132,0.5333333333333333,0.0,-6,6.208333333333333,0,0
Commanders,2002,13,315,328,4,1622,232,83,0.23076923076923078,0.0,-7,5.0,0,0
Commanders,2002,12,362,364,0,1876,235,127,0.5833333333333334,0.0,3,5.746031746031746,1,0
Commanders,2002,11,166,299,2,1398,106,60,0.1875,0.0,-2,2.8620689655172415,0,0
Commanders,2002,10,307,309,3,1577,239,68,0.25,0.0,-19,4.449275362318841,0,0
Commanders,2002,9,259,324,1,1502,113,146,0.46153846153846156,0.0,11,4.543859649122807,1,0
Commanders,2002,8,370,258,1,2013,205,165,0.5,0.0,5,5.0,1,0
Cowboys,2002,17,186,352,4,1473,148,38,0.07692307692307693,0.0,-6,3.72,0,0
Cowboys,2002,16,146,359,3,1697,78,68,0.0,0.0,-24,2.92,0,0
Cowboys,2002,15,241,377,3,1722,137,104,0.13333333333333333,0.0,-30,3.442857142857143,0,0
Cowboys,2002,14,257,401,2,1441,147,110,0.3333333333333333,0.0,-4,4.672727272727273,0,0
Cowboys,2002,13,328,315,0,1978,117,211,0.21428571428571427,0.0,7,5.046153846153846,1,0
Cowboys,2002,12,405,326,3,1928,287,118,0.2222222222222222,0.0,2,6.982758620689655,1,0
Cowboys,2002,11,178,362,2,1197,94,84,0.1,0.0,-17,3.869565217391304,0,0
Cowboys,2002,9,221,148,2,2073,150,71,0.3125,0.0,-2,3.112676056338028,0,0
Cowboys,2002,8,237,267,1,1675,132,105,0.3333333333333333,0.0,-3,4.388888888888889,0,0
Cowboys,2002,7,342,380,4,1857,194,148,0.16666666666666666,0.0,-3,5.7,0,0
Dolphins,2002,17,359,332,0,1871,103,256,0.23076923076923078,0.0,-3,5.609375,0,0
Dolphins,2002,16,239,368,2,1446,170,69,0.2,0.0,-3,6.128205128205129,0,0
Dolphins,2002,15,334,218,1,2213,213,121,0.42857142857142855,0.0,6,4.911764705882353,1,0
Dolphins,2002,14,436,195,3,2142,188,248,0.4375,0.0,18,5.972602739726027,1,0
Dolphins,2002,13,300,431,3,1639,30,270,0.36363636363636365,0.0,-17,5.357142857142857,0,0
Dolphins,2002,12,413,144,0,2154,191,222,0.38461538461538464,0.0,27,6.073529411764706,1,0
Dolphins,2002,11,337,157,0,2047,221,116,0.375,0.0,19,5.184615384615385,1,0
Dolphins,2002,10,279,264,2,1654,210,69,0.2727272727272727,0.0,-3,5.166666666666667,0,0
Dolphins,2002,9,306,270,4,1871,163,143,0.23076923076923078,0.0,-14,3.9740259740259742,0,0
Dolphins,2002,7,287,294,6,1874,155,132,0.4,0.0,-13,4.220588235294118,0,0
Eagles,2002,17,209,461,1,1564,144,65,0.23076923076923078,0.0,-3,4.26530612244898,0,0
Eagles,2002,16,359,146,2,1903,245,114,0.4444444444444444,0.0,24,5.4393939393939394,1,0
Eagles,2002,15,320,292,1,1812,210,110,0.2857142857142857,0.0,13,5.333333333333333,1,0
Eagles,2002,14,316,367,1,1837,190,126,0.42857142857142855,0.0,7,4.7164179104477615,1,0
Eagles,2002,13,265,250,4,1761,157,108,0.3125,0.0,7,4.140625,1,0
Eagles,2002,12,343,409,0,1658,236,107,0.36363636363636365,0.0,21,5.622950819672131,1,0
Eagles,2002,11,462,248,2,2175,250,212,0.6363636363636364,0.0,24,6.695652173913044,1,0
Eagles,2002,10,374,446,2,1762,269,105,0.2857142857142857,0.0,-22,5.194444444444445,0,0
Eagles,2002,9,309,260,1,1981,192,117,0.3125,0.0,6,4.232876712328767,1,0
Eagles,2002,8,422,348,0,2028,127,295,0.5,0.0,14,5.943661971830986,1,0
Falcons,2002,17,331,318,3,1755,226,105,0.47058823529411764,0.0,-8,4.797101449275362,0,0
Falcons,2002,16,533,208,2,2298,336,197,0.375,0.0,21,6.6625,1,0
Falcons,2002,15,373,464,3,2327,223,150,0.4,0.0,-6,4.973333333333334,0,0
Falcons,2002,14,181,421,1,1562,119,62,0.25,0.0,-24,3.693877551020408,0,0
Falcons,2002,13,379,369,3,1540,152,227,0.3,0.0,6,6.423728813559322,1,0
Falcons,2002,12,426,122,1,2388,277,149,0.5,0.0,41,5.916666666666667,1,0
Falcons,2002,11,292,344,1,2003,137,155,0.5,0.0,7,4.634920634920635,1,0
Falcons,2002,9,241,340,1,1902,115,126,0.3333333333333333,0.0,3,3.9508196721311477,1,0
Falcons,2002,8,446,351,2,2103,186,260,0.6363636363636364,0.0,2,6.757575757575758,1,0
Falcons,2002,7,393,205,0,2408,206,187,0.45454545454545453,0.0,30,5.865671641791045,1,0
Giants,2002,17,461,209,4,2346,248,213,0.5,0.0,3,6.1466666666666665,1,0
Giants,2002,16,469,399,3,1956,366,103,0.6153846153846154,0.0,17,7.2153846153846155,1,0
Giants,2002,15,377,241,0,1878,220,157,0.18181818181818182,0.0,30,5.890625,1,0
Giants,2002,14,316,447,0,1859,205,111,0.3333333333333333,0.0,6,5.180327868852459,1,0
Giants,2002,13,345,476,0,1753,283,62,0.4,0.0,-3,5.564516129032258,0,0
Giants,2002,12,369,212,3,1667,201,168,0.4,0.0,-2,5.3478260869565215,0,0
Giants,2002,11,299,166,3,2202,211,88,0.35294117647058826,0.0,2,3.5595238095238093,1,0
Giants,2002,10,460,356,1,2054,291,169,0.09090909090909091,0.0,7,6.47887323943662,1,0
Giants,2002,9,394,329,1,1984,217,177,0.4166666666666667,0.0,7,5.96969696969697,1,0
Giants,2002,8,348,422,1,1572,245,103,0.2727272727272727,0.0,-14,6.0,0,0
Jaguars,2002,17,266,272,1,1769,112,154,0.46153846153846156,0.0,-7,4.290322580645161,0,0
Jaguars,2002,16,214,298,1,1461,139,75,0.0,0.0,-18,3.689655172413793,0,0
Jaguars,2002,15,321,300,0,1801,212,109,0.25,0.0,14,5.262295081967213,1,0
Jaguars,2002,14,211,417,0,1504,54,157,0.18181818181818182,0.0,-1,4.395833333333333,0,0
Jaguars,2002,13,226,403,0,1279,124,102,0.2727272727272727,0.0,-2,4.808510638297872,0,0
Jaguars,2002,12,326,405,3,1672,194,132,0.35714285714285715,0.0,-2,4.794117647058823,0,0
Jaguars,2002,11,321,272,1,1732,199,122,0.3333333333333333,0.0,3,5.5344827586206895,1,0
Jaguars,2002,10,309,307,0,2023,167,142,0.4,0.0,19,4.828125,1,0
Jaguars,2002,9,329,394,1,1616,203,126,0.35714285714285715,0.0,-7,5.483333333333333,0,0
Jaguars,2002,8,290,242,0,2019,164,126,0.35294117647058826,0.0,-2,4.084507042253521,0,0
Jets,2002,17,337,322,0,1698,208,129,0.6666666666666666,0.0,25,6.127272727272727,1,0
Jets,2002,16,393,216,0,2062,285,108,0.4,0.0,13,6.046153846153846,1,0
Jets,2002,15,334,266,1,1622,200,134,0.36363636363636365,0.0,-7,5.758620689655173,0,0
Jets,2002,14,281,369,0,1647,217,64,0.5384615384615384,0.0,6,5.109090909090909,1,0
Jets,2002,13,274,411,2,1406,242,32,0.125,0.0,-6,5.372549019607843,0,0
Jets,2002,12,325,258,0,1898,170,155,0.5,0.0,18,5.241935483870968,1,0
Jets,2002,11,408,279,1,2324,219,189,0.7272727272727273,0.0,17,6.181818181818182,1,0
Jets,2002,10,264,279,0,1946,167,97,0.18181818181818182,0.0,3,4.47457627118644,1,0
Jets,2002,9,413,243,0,2226,248,165,0.4666666666666667,0.0,31,5.9855072463768115,1,0
Jets,2002,8,241,334,3,1326,175,66,0.3333333333333333,0.0,-3,5.020833333333333,0,0
Lions,2002,17,386,450,3,1529,293,93,0.5,0.0,-2,6.03125,0,0
Lions,2002,16,208,533,3,1302,121,87,0.2857142857142857,0.0,-21,3.6491228070175437,0,0
Lions,2002,15,292,376,1,1374,148,144,0.3,0.0,-3,5.959183673469388,0,0
Lions,2002,14,203,313,1,1527,152,51,0.16666666666666666,0.0,-3,3.759259259259259,0,0
Lions,2002,13,292,349,3,1500,210,82,0.46153846153846156,0.0,-8,4.9491525423728815,0,0
Lions,2002,12,301,422,2,1891,199,102,0.4375,0.0,-3,4.23943661971831,0,0
Lions,2002,11,279,408,1,1276,171,108,0.3333333333333333,0.0,-17,5.58,0,0
Lions,2002,10,362,503,2,1237,236,126,0.07692307692307693,0.0,-26,5.934426229508197,0,0
Lions,2002,9,148,221,2,1527,96,52,0.13333333333333333,0.0,2,2.5964912280701755,1,0
Lions,2002,8,282,343,1,1707,199,83,0.3333333333333333,0.0,-7,4.2727272727272725,0,0
Packers,2002,17,322,337,1,1902,208,114,0.2857142857142857,0.0,-25,4.666666666666667,0,0
Packers,2002,16,223,185,2,1688,104,119,0.3333333333333333,0.0,10,3.4307692307692306,1,0
Packers,2002,15,302,263,0,2163,198,104,0.5625,0.0,6,4.507462686567164,1,0
Packers,2002,14,328,316,2,1834,204,124,0.5833333333333334,0.0,4,5.377049180327869,1,0
Packers,2002,13,396,304,2,1958,215,181,0.42857142857142855,0.0,10,5.28,1,0
Packers,2002,12,267,246,4,1834,171,96,0.3076923076923077,0.0,-14,4.171875,0,0
Packers,2002,11,367,425,3,1675,296,71,0.21428571428571427,0.0,-10,6.016393442622951,0,0
Packers,2002,10,503,362,2,2363,353,150,0.47058823529411764,0.0,26,6.448717948717949,1,0
Packers,2002,9,270,306,1,1729,166,104,0.36363636363636365,0.0,14,5.09433962264151,1,0
Packers,2002,7,243,238,1,1741,155,88,0.3333333333333333,0.0,21,4.418181818181818,1,0
Panthers,2002,17,273,244,3,1820,188,85,0.21428571428571427,0.0,4,4.475409836065574,1,0
Panthers,2002,16,253,186,2,2210,165,88,0.23809523809523808,0.0,10,3.2857142857142856,1,0
Panthers,2002,15,131,332,4,1232,81,50,0.35714285714285715,0.0,-16,2.3392857142857144,0,0
Panthers,2002,14,401,340,3,1732,319,82,0.5555555555555556,0.0,21,6.913793103448276,1,0
Panthers,2002,13,234,258,2,1943,89,145,0.3333333333333333,0.0,7,4.105263157894737,1,0
Panthers,2002,12,122,426,6,1212,51,71,0.2,0.0,-41,2.5416666666666665,0,0
Panthers,2002,11,231,314,4,1447,168,63,0.2857142857142857,0.0,-13,3.7868852459016393,0,0
Panthers,2002,10,396,345,2,1941,296,100,0.23529411764705882,0.0,-10,5.739130434782608,0,0
Panthers,2002,8,130,226,4,1619,20,110,0.08333333333333333,0.0,-3,2.5,0,0
Panthers,2002,7,205,393,1,1192,104,101,0.2727272727272727,0.0,-30,4.019607843137255,0,0
Patriots,2002,17,332,359,2,1852,216,116,0.4117647058823529,0.0,3,4.311688311688312,1,0
Patriots,2002,16,216,393,2,1538,119,97,0.375,0.0,-13,3.4838709677419355,0,0
Patriots,2002,15,176,365,2,1110,120,56,0.18181818181818182,0.0,-17,3.74468085106383,0,0
Patriots,2002,14,275,390,0,1762,183,92,0.36363636363636365,0.0,10,5.188679245283019,1,0
Patriots,2002,13,349,292,1,2100,210,139,0.6,0.0,8,5.132352941176471,1,0
Patriots,2002,12,299,417,0,1899,219,80,0.42857142857142855,0.0,7,4.333333333333333,1,0
Patriots,2002,11,195,386,1,1403,147,48,0.3333333333333333,0.0,-7,3.823529411764706,0,0
Patriots,2002,10,397,299,2,1860,315,82,0.35294117647058826,0.0,3,5.223684210526316,1,0
Patriots,2002,9,422,331,0,2058,263,159,0.6666666666666666,0.0,31,6.698412698412699,1,0
Patriots,2002,8,179,351,0,1460,110,69,0.25,0.0,-8,3.3773584905660377,0,0
Raiders,2002,17,354,176,1,2415,74,280,0.5333333333333333,0.0,24,4.72,1,0
Raiders,2002,16,322,324,2,2096,186,136,0.5333333333333333,0.0,12,4.735294117647059,1,0
Raiders,2002,15,218,334,2,1387,162,56,0.2,0.0,-6,4.541666666666667,0,0
Raiders,2002,14,393,291,0,1864,326,67,0.5294117647058824,0.0,20,5.865671641791045,1,0
Raiders,2002,13,411,274,0,2194,313,98,0.5,0.0,6,5.708333333333333,1,0
Raiders,2002,12,520,263,1,2177,333,187,0.2857142857142857,0.0,21,6.265060240963855,1,0
Raiders,2002,11,386,195,1,2197,289,97,0.5,0.0,7,5.514285714285714,1,0
Raiders,2002,10,374,342,0,1699,347,27,0.6,0.0,24,7.056603773584905,1,0
Raiders,2002,9,239,434,1,1448,158,81,0.45454545454545453,0.0,-3,4.78,0,0
Raiders,2002,8,417,323,2,1707,334,83,0.3333333333333333,0.0,-10,5.791666666666667,0,0
Rams,2002,17,263,329,2,1463,228,35,0.16666666666666666,0.0,11,4.614035087719298,1,0
Rams,2002,16,271,392,5,1719,254,17,0.5333333333333333,0.0,-20,4.106060606060606,0,0
Rams,2002,15,366,378,2,1873,300,66,0.38461538461538464,0.0,2,6.0,1,0
Rams,2002,14,202,293,3,1734,169,33,0.25,0.0,-39,3.4237288135593222,0,0
Rams,2002,13,250,265,5,1839,174,76,0.3157894736842105,0.0,-7,3.5714285714285716,0,0
Rams,2002,12,364,362,2,1724,280,84,0.6923076923076923,0.0,-3,5.27536231884058,0,0
Rams,2002,11,388,220,2,1750,327,61,0.46153846153846156,0.0,5,6.360655737704918,1,0
Rams,2002,10,524,256,4,1813,453,71,0.4444444444444444,0.0,4,8.1875,1,0
Rams,2002,9,415,235,2,2128,223,192,0.5,0.0,13,6.1940298507462686,1,0
Rams,2002,7,478,290,2,2427,260,218,0.5,0.0,17,5.759036144578313,1,0
Ravens,2002,17,422,351,4,1405,308,114,0.6,0.0,-3,8.115384615384615,0,0
Ravens,2002,16,275,256,1,1814,129,146,0.5,0.0,-1,4.661016949152542,0,0
Ravens,2002,15,298,277,0,1876,228,70,0.375,0.0,4,4.73015873015873,1,0
Ravens,2002,14,410,359,5,1534,296,114,0.3333333333333333,0.0,-12,6.3076923076923075,0,0
Ravens,2002,13,247,381,0,1654,99,148,0.46153846153846156,0.0,4,4.660377358490566,1,0
Ravens,2002,12,199,402,2,1551,87,112,0.15384615384615385,0.0,1,3.618181818181818,1,0
Ravens,2002,11,157,337,1,1553,91,66,0.15384615384615385,0.0,-19,2.754385964912281,0,0
Ravens,2002,10,325,372,2,1645,163,162,0.4,0.0,11,5.603448275862069,1,0
Ravens,2002,9,340,241,2,1698,187,153,0.5333333333333333,0.0,-3,5.862068965517241,0,0
Ravens,2002,8,360,283,5,2005,293,67,0.5333333333333333,0.0,-13,4.931506849315069,0,0
Saints,2002,17,244,273,3,1780,119,125,0.23529411764705882,0.0,-4,3.753846153846154,0,0
Saints,2002,16,210,423,2,1481,177,33,0.14285714285714285,0.0,-7,3.442622950819672,0,0
Saints,2002,15,299,439,0,1719,221,78,0.5,0.0,-1,5.067796610169491,0,0
Saints,2002,14,359,410,2,2066,209,150,0.3888888888888889,0.0,12,4.723684210526316,1,0
Saints,2002,13,238,283,1,1640,136,102,0.5294117647058824,0.0,3,3.901639344262295,1,0
Saints,2002,12,383,339,6,1729,309,74,0.2727272727272727,0.0,-9,6.079365079365079,0,0
Saints,2002,11,344,292,2,1597,264,80,0.45454545454545453,0.0,-7,6.37037037037037,0,0
Saints,2002,10,345,396,0,1659,248,97,0.26666666666666666,0.0,10,5.3076923076923075,1,0
Saints,2002,8,351,446,3,1497,192,159,0.25,0.0,-2,5.9491525423728815,0,0
Saints,2002,7,422,418,1,1801,243,179,0.7142857142857143,0.0,8,6.492307692307692,1,0
Seahawks,2002,17,591,414,3,2390,428,163,0.5,0.0,3,6.566666666666666,1,0
Seahawks,2002,16,392,271,1,1881,292,100,0.5,0.0,20,5.764705882352941,1,0
Seahawks,2002,15,464,373,3,1909,298,166,0.5714285714285714,0.0,6,6.628571428571429,1,0
Seahawks,2002,14,367,316,3,1763,195,172,0.25,0.0,-7,4.95945945945946,0,0
Seahawks,2002,13,507,299,3,1655,427,80,0.5333333333333333,0.0,-7,6.851351351351352,0,0
Seahawks,2002,12,534,552,0,1792,354,180,0.6,0.0,7,7.970149253731344,1,0
Seahawks,2002,11,204,401,3,1711,153,51,0.2857142857142857,0.0,-22,3.5789473684210527,0,0
Seahawks,2002,10,406,337,0,1964,255,151,0.5714285714285714,0.0,21,5.970588235294118,1,0
Seahawks,2002,9,324,259,2,2098,240,84,0.35294117647058826,0.0,-11,4.438356164383562,0,0
Seahawks,2002,8,267,237,2,1925,170,97,0.625,0.0,3,4.045454545454546,1,0
Steelers,2002,17,351,422,2,2195,176,175,0.6153846153846154,0.0,3,4.943661971830986,1,0
Steelers,2002,16,327,277,1,2060,233,94,0.5,0.0,10,5.360655737704918,1,0
Steelers,2002,15,332,131,2,2368,203,129,0.5,0.0,16,4.486486486486487,1,0
Steelers,2002,14,422,47,5,2381,294,128,0.34782608695652173,0.0,-18,4.442105263157894,0,0
Steelers,2002,13,403,226,1,2321,184,219,0.18181818181818182,0.0,2,5.840579710144928,1,0
